left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,squat
471,82,473,82,474,123,473,123,477,148,477,149,475,181,476,176,0
221,203,225,207,281,276,279,272,218,292,220,289,251,352,251,334,2
250,341,291,266,287,268,294,266,224,290,229,289,255,352,254,329,1
252,339,192,206,290,262,323,252,227,286,237,285,254,350,244,330,1
224,195,230,195,288,263,278,257,227,286,230,281,251,351,242,333,2
253,226,211,201,282,262,268,252,221,289,234,286,247,354,242,330,1
