left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,squat
255,180,230,192,271,313,255,313,268,427,249,424,274,548,252,530,0
255,176,229,198,270,312,255,312,267,422,251,422,273,549,251,530,0
254,179,229,194,270,314,254,317,266,427,251,418,273,553,251,531,0
251,182,230,191,273,315,258,318,261,427,248,424,273,551,251,529,0
251,186,230,201,282,320,258,320,255,424,242,421,270,549,255,527,0
251,200,222,212,284,324,260,330,248,422,237,419,266,549,254,528,1
246,212,219,231,290,332,260,340,238,422,227,422,268,550,251,528,1
249,229,200,243,290,346,260,357,230,430,219,427,268,552,249,530,1
246,244,195,254,293,366,257,368,223,433,213,431,267,552,246,529,1
243,265,196,273,296,380,258,385,216,435,208,435,268,552,248,532,2
241,288,194,286,298,397,253,397,214,438,207,441,269,552,248,529,2
239,319,190,321,299,437,244,434,202,446,151,443,267,552,248,529,3
231,337,188,331,300,453,248,445,215,449,190,445,267,551,246,530,3
238,341,186,335,304,456,247,456,206,445,156,445,269,552,247,532,3
260,337,192,328,307,452,248,447,215,445,188,443,266,551,248,528,3
238,320,185,320,306,434,248,431,213,441,201,438,266,552,245,529,3
251,315,219,325,309,417,251,415,217,435,208,435,268,553,244,530,2
250,307,224,317,310,403,267,403,222,434,210,432,267,554,246,530,2
252,291,224,307,313,394,272,399,221,432,211,432,267,553,244,530,2
253,288,220,300,313,387,275,387,225,430,215,435,268,552,246,533,2
250,277,212,295,312,382,286,384,227,430,220,430,268,553,248,530,2
242,269,222,287,315,373,282,378,229,428,222,428,268,553,248,529,2
250,264,210,277,313,367,278,367,230,428,225,428,268,551,250,528,1
251,256,197,259,311,361,280,367,234,427,225,427,268,552,248,527,1
236,253,197,250,310,357,280,360,230,426,227,426,269,548,252,529,1
244,241,196,247,304,352,278,358,233,426,224,426,267,549,250,529,1
248,234,197,239,303,348,274,353,237,428,228,425,266,550,251,530,1
255,219,198,234,297,339,270,345,243,426,234,423,267,550,252,529,1
248,203,222,213,293,329,268,335,248,425,239,422,268,548,251,525,1
251,191,225,204,284,318,264,325,251,423,245,419,268,553,251,531,0
249,179,230,191,274,312,258,312,261,420,249,420,271,547,252,526,0
