key,a,b,c,d,e,f,g,h,i,j
0_x,-0.0013544219485670762,0.00030987101807083706,-4.3658254328369984e-05,2.9068565788500656e-06,-1.0049314452084198e-07,1.909765393801348e-09,-2.0134788441175407e-11,1.1052206045106353e-13,-2.465652553014331e-16,0.4722477404553639
0_y,0.008916164048102892,-0.0032203591875267445,0.0004310287902188822,-2.7670021874576834e-05,9.503041403466779e-07,-1.8290049072277145e-08,1.976211732024719e-10,-1.1201444462209994e-12,2.5936373468822404e-15,0.37641339002586416
0_z,-0.02906839281313957,0.008676858266060742,-0.0010897233127301412,6.726955144174678e-05,-2.246626360235355e-06,4.248477702015841e-08,-4.5466815733135204e-10,2.5670185834421493e-12,-5.943058646117521e-15,-0.18544886827760657
1_x,-0.0010275295468572434,0.000286585391075409,-4.491682749172706e-05,3.1210385703402762e-06,-1.1056476333529006e-07,2.1394975665416907e-09,-2.2915598036899333e-11,1.276972281656398e-13,-2.892129385243209e-16,0.4914828626282942
1_y,0.009099620846903939,-0.0033004796752115952,0.000441576838628214,-2.828752887387574e-05,9.695034082658664e-07,-1.863195305523662e-08,2.0113001987447968e-10,-1.1394638375510736e-12,2.637843841887796e-15,0.39046376180601877
1_z,-0.026551528187803482,0.008121133497678129,-0.0010339663276523587,6.440963316029272e-05,-2.1648303427837797e-06,4.112163546800193e-08,-4.414952402054861e-10,2.498545248456619e-12,-5.794887938377894e-15,-0.12625016943351508
2_x,-0.0022452509391492344,0.0005115570123750217,-6.30629813126186e-05,3.868331324065815e-06,-1.2740942892044647e-07,2.3547924295883843e-09,-2.445263947357057e-11,1.3327349514105475e-13,-2.968298741617811e-16,0.45843515506142424
2_y,0.008635483580800789,-0.003178597476701631,0.0004287083519030878,-2.7602166828172473e-05,9.490009680998613e-07,-1.827342727959653e-08,1.9750010262109718e-10,-1.119773350395661e-12,2.59358816003955e-15,0.39115272969677894
2_z,-0.026739540695631732,0.008212020288956937,-0.001048146703731908,6.526156130188389e-05,-2.1905778123433234e-06,4.156059716237182e-08,-4.458124820731408e-10,2.5214953060745598e-12,-5.846059399998889e-15,-0.11584105783451042
3_x,-0.0030518111909956266,0.000644278378434777,-7.071572542582381e-05,3.949213751988783e-06,-1.2150841214627853e-07,2.143490902974105e-09,-2.158127907994308e-11,1.1531761497898347e-13,-2.538075257000774e-16,0.5848837183533565
3_y,0.009640936945373981,-0.0033706553971110656,0.0004401591657950879,-2.7681356298748587e-05,9.357679845794402e-07,-1.779825642960194e-08,1.9057302929810646e-10,-1.072472455451595e-12,2.468727604968026e-15,0.44035338131003693
3_z,-0.01660590592222785,0.005087587792176795,-0.0006659630672671905,4.274184071151409e-05,-1.4701947766920668e-06,2.8370397618259128e-08,-3.0771695920039806e-10,1.7526196622586711e-12,-4.080437221583285e-15,-0.004315592271489862
4_x,-0.003054698077836355,0.0009258520219640406,-0.00011335612994611171,6.658687798372235e-06,-2.118574221972074e-07,3.845854519904217e-09,-3.9802941811525404e-11,2.18626537212955e-13,-4.94722369334385e-16,0.3874076150531115
4_y,0.007625295868822977,-0.002764042222836222,0.0003677523771653246,-2.3497213683373952e-05,8.043683459961134e-07,-1.5438041069973166e-08,1.6635304594799837e-10,-9.403612483439004e-13,2.1715230505350355e-15,0.4387929616626606
4_z,-0.025245950527656096,0.007878508988365385,-0.0009959846708769958,6.118376480320529e-05,-2.030133080704124e-06,3.8174244192959975e-08,-4.0670354689009423e-10,2.2881736780719768e-12,-5.283035066817462e-15,0.057602116428452366
5_x,-8.834709589854088e-05,0.00017477457679917626,-2.5190508512077323e-05,1.5444727732020686e-06,-4.817990734807224e-08,8.094320311189325e-10,-7.311211416523773e-12,3.2740455226847456e-14,-5.490491777356064e-17,0.5359832922542493
5_y,0.01267917231881978,-0.004436255749655597,0.0005656824694749999,-3.473184939280496e-05,1.1523689899034998e-06,-2.1640922985211437e-08,2.2980066711232381e-10,-1.2862881509092622e-12,2.9506051280180344e-15,0.5105954531081374
5_z,-0.04443903703718622,0.00996215585628021,-0.0009980401812409473,5.266846841076344e-05,-1.5754947246132e-06,2.741523978170517e-08,-2.741372978270994e-10,1.4592854219584792e-12,-3.203502911499175e-15,-0.12028656364602047
6_x,0.00016780797726834894,7.299596376420561e-05,-2.5126994753895358e-05,2.284866815337802e-06,-9.448497927587913e-08,2.0222863754660573e-09,-2.3291494452859036e-11,1.3741544539400125e-13,-3.2656657453887247e-16,0.3596336167445213
6_y,0.01203116702878948,-0.004096530348327275,0.0005216989707562428,-3.2240645149457196e-05,1.0773869912935308e-06,-2.0359078841682282e-08,2.1733028855917838e-10,-1.2220096849837384e-12,2.8143711991061644e-15,0.5012952521719323
